"ItemID","Stock Status","SKU","Date Updated"
"AVERY-12HL6","IN STOCK","2V3RYXXX-C12HL6",11/18/2016
"AVERY-12S28","IN STOCK","2V3RYXXX-C12S28",11/18/2016
"AVERY-1B","IN STOCK","2V3RYXXX-C0001B",11/18/2016
"AVERY-2","IN STOCK","2V3RYXXX-C00002",11/18/2016
"AVERY-24BT18","IN STOCK","2V3RYXXX-C24B18",11/18/2016
"AVERY-2832","IN STOCK","2V3RYXXX-C02832",11/18/2016
"AVERY-4","LOW","2V3RYXXX-C00004",11/18/2016
"AVERY-6","IN STOCK","2V3RYXXX-C00006",11/18/2016
"AVERY-6/27","IN STOCK","2V3RYXXX-C00627",11/18/2016
"AVERY-60","IN STOCK","2V3RYXXX-C00060",11/18/2016
"AVERY-613/12BT","IN STOCK","2V3RYXXX-C61312",11/18/2016
"AVERY-613BHL22","IN STOCK","2V3RYXXX-C61322",11/18/2016
"AVERY-BAMBOO","IN STOCK","2V3RYXXX-C0BAMB",11/18/2016
"AVERY-BLUSH","IN STOCK","2V3RYXXX-CBLUSH",11/18/2016
"AVERY-BUTTERSCOTCH","IN STOCK","2V3RYXXX-CBSTCH",11/18/2016
"AVERY-CARAMEL KISS","IN STOCK","2V3RYXXX-CCAKSS",11/18/2016
"AVERY-CINNAMON","IN STOCK","2V3RYXXX-CCNAMN",11/18/2016
"AVERY-COCONUT CREAM","IN STOCK","2V3RYXXX-CCCREM",11/18/2016
"AVERY-COGNAC","LOW","2V3RYXXX-CCGNAC",11/18/2016
"AVERY-DARK AUBURN","IN STOCK","2V3RYXXX-CDKAUB",11/18/2016
"AVERY-GINGER BROWN","IN STOCK","2V3RYXXX-CGGBRN",11/18/2016
"AVERY-GOLDEN BROWN","IN STOCK","2V3RYXXX-CGDBRN",11/18/2016
"AVERY-HOT COCOA","IN STOCK","2V3RYXXX-CHTCCA",11/18/2016
"AVERY-ICED CHAMPAGNE","IN STOCK","2V3RYXXX-CCDHMP",11/18/2016
"AVERY-KAHLUA","IN STOCK","2V3RYXXX-CKAHLA",11/18/2016
"AVERY-MALIBU BLONDE","IN STOCK","2V3RYXXX-CMBLND",11/18/2016
"AVERY-MEDIUM BROWN","IN STOCK","2V3RYXXX-CMDBRN",11/18/2016
"AVERY-MERINGUE","IN STOCK","2V3RYXXX-CMERNG",11/18/2016
"AVERY-MINX","IN STOCK","2V3RYXXX-C00MNX",11/18/2016
"AVERY-PEARL MIST","IN STOCK","2V3RYXXX-CPLMST",11/18/2016
"AVERY-PUMPKIN SPICE","IN STOCK","2V3RYXXX-CPSPCE",11/18/2016
"AVERY-ROSEWOOD","IN STOCK","2V3RYXXX-C0RSWD",11/18/2016
"AVERY-ROUGE","LOW","2V3RYXXX-C0RUGE",11/18/2016
"AVERY-RTD BAMBOO","IN STOCK","2V3RYXXX-CRBAMB",11/18/2016
"AVERY-RTD BLONDE","IN STOCK","2V3RYXXX-CRBLND",11/18/2016
"AVERY-RTD HOT COCOA","LOW","2V3RYXXX-CRHCCA",11/18/2016
"AVERY-RTD ICING","IN STOCK","2V3RYXXX-CR0CNG",11/18/2016
"AVERY-RTD MALIBU","IN STOCK","2V3RYXXX-CRMALB",11/18/2016
"AVERY-RTD PLATINUM","IN STOCK","2V3RYXXX-CRPLAT",11/18/2016
"AVERY-RTD SAND STONE","OUT","2V3RYXXX-CRSNST",11/18/2016
"AVERY-RTD VANILLA","IN STOCK","2V3RYXXX-CRVANL",11/18/2016
"AVERY-SANGRIA","IN STOCK","2V3RYXXX-CSNGRA",11/18/2016
"AVERY-SILVERSTONE","IN STOCK","2V3RYXXX-CSVRSN",11/18/2016
"AVERY-STRWBRRY FRST","IN STOCK","2V3RYXXX-CSFRST",11/18/2016
"AVERY-SUNSET RED","IN STOCK","2V3RYXXX-CSNRED",11/18/2016
"AVERY-T PLATINUM","IN STOCK","2V3RYXXX-CTPLAT",11/18/2016
"AVERY-TANGERINE TWST","IN STOCK","2V3RYXXX-CTTWST",11/18/2016
"AVERY-WARMTH","OUT","2V3RYXXX-CWRMTH",11/18/2016
"AVERY-WINEBERRY","IN STOCK","2V3RYXXX-CWNBRY",11/18/2016
