Product Name,Keywords,Description,Type,Collection,Fiber,Cap Size,Handtied,Special Order
Bijou,"shaggy pixie, versatile, double mono-top","BIJOU is a shaggy pixie with volume.  This French kiss is the perfect boy cut by day that turns into a wavy gamine by night.  From Demure to Punk, BIJOU is as feminine as she is relevant.  Get J Law�s bevy of styles; from tousled to stylized pixie, sleek and straight to casually cool, perfect pixie crop to a cool comb over, flexible, versatile and fashionable.  This style is great on every face shape from oval to square because of its incredible versatility.  You can wear this style all off the face with height or close to the head, she can be worn to the side or with bangs and asymmetrical too.  BIJOU has a double mono-filament cap for comfort and Tony of Beverly�s exclusive blend of synthetic fibers.  Available in 40 great Tony of Beverly colors including new color Sangria.  This is a twin of our best selling DION.",wig,,Naturlite - Tony of Beverly's Exclusive blend,standard,N,Y
Blend 18,mono-top hair piece,"18 beautifully-layered inches of our exclusive synthetic blend of fibers on a mono-filament hair piece on a 6""x6"" base.  Attaches with toupee clips.  Perfect for adding volume or length.",Hairpiece,,Naturlite - Tony of Beverly's Exclusive blend,N/A,N,Y
Britt,mono-top long bangs,New mono-top with a bang! Britt is a extra-long shag with razor cut layers that start with a full bang,Wig; Monofilament top,,Naturlite - Tony of Beverly's Exclusive blend,standard,N,Y
Cali,Harp cap wig. Short style.,Cali is a razor cut short with vertical layers that end in a convertible fringe.  The top and back can be spiked up for volume. A Tony of Beverly Best Seller.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Casquette,Top hairpiece.  Hair filler.  Toupee clip hair piece. Enhancer.,Casquette is an oval based honeycomb hair filler with 5 inches of soft all over curls. A Tony of Beverly Best Seller.,Honeycomb Hairpiece,,Tony of Beverly Exclusive blend,N/A,N,Y
Ceres,capless; ambient fiber,"Ceres is a curly bob with freeform layers that are light and airy. Shoulder grazing loose curls are paired with a longer crown and fuller bang. This great style is made even more versatile with our Ambient fiber that you can blow-dry, curl and manipulate it how you would like it.",Wig,,Ambient - High heat fiber,standard,N,Y
Concealer,Top hairpiece.  Mono-filament hair piece.  Toupee clip hair piece. Enhancer.,Concealer is the perfect top hair piece.  This mono-filament hair piece has 8 inches of soft lightly layered waves that can be parted in any direction.  Use this for female pattern baldness and Conceal your flaws.,Mono-Toptop Hairpiece,,Tony of Beverly Exclusive blend,N/A,N,Y
Cora,flair; feathered layers; air bangs; ambient fiber,"CORA is fabulously fun flair with feathered layers that will frame your whole face with full airy bangs and a wispy layered nape.  The natural allover wisps make this style very versatile. You can finger it from the corwn downwards or wear it flipped up.  With Tony of Beverly's ezxclusive Ambient fiber, the styling options are only limited by your imagination.",Wig,,Ambient - High heat fiber,standard,N,Y
Destiny,Harp cap wig. Long layered style. Farrah Fawcett look.  Feathered style.,Destiny is a long polished layered style with angled bangs. A versatile style that can be worn feathered out or in.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Dion,Full cap wig.  Short style.  Katie Holmes short look.,Dion is your perfectly style short.  She has a soft wave for versatility.  It doesn't get any better then this short style. A Tony of Beverly Best Seller.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Dusty,Butterfly clip hair piece. Bun. Up do.,Dusty is a fun clip on. She can be spiked for volume or combed down for a bun look. Great for special occasions. Use Dusty for a stylish and easy up do.,Hairpiece,,Tony of Beverly Exclusive blend,N/A,N,Y
Dutch Braid,"hair piece, snappy clip, claw clip",A braid ending with a ponytail. Be on trend with our Dutch Braid,Hairpiece,,Naturlite - Tony of Beverly's Exclusive blend,N/A,N,Y
Ellyn,Capless wig. ,Ellyn is a classic style with all over curls ending softly in the back. A Tony of Beverly Best Seller.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Enhancer,3/4 hairpiece; Ambient fiber;,"This is a 3/4 hairpiece, styled like our Top-selling Cora, with heat-treatable strands that can be styled to crate your own personal look!",Hairpiece,,Ambient - High heat fiber,N/A,N,Y
Fiona,Capless wig.  Short wig. Spiky. Tapered.,"Fiona is a sassy, spiky show stopper with fringed ends and a softly tapered back. This is a high fashion look. A Tony of Beverly Best Seller.",Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Flirt,"hair piece, ponytail, scrunchie, rubber band",Wrap-around Hair Piece with 2.75 inches of soft curls on an elastic band,Hairpiece,,Tony of Beverly Exclusive blend,N/A,N,N/A
Florette,"top hairpiece, toupee clip hair piece, hair filler, enhancer",Florette is an oval honeycomb hair filler with 5 1/4 inches of soft curls. This versatile top piece can be worn any where on the head to add volume. A Tony of Beverly Best Seller.,Honeycomb Hairpiece,,Tony of Beverly Exclusive blend,N/A,N,Y
Flounce,"hair piece, ponytail, scrunchie, rubber band",Wrap-around Hair Piece with 2.75 inches of soft curls on an elastic band,Hairpiece,,Tony of Beverly Exclusive blend,N/A,N,N/A
Foundation,"top hairpiece, toupee clip hair piece, hair filler, enhancer",Foundation is a hair enhancer with 4 inches of soft curls with toupee clips attachments.,top hairpiece,,Tony of Beverly Exclusive blend,N/A,N,Y
Frenchy,"capless wig, light weight fiber, soft touch collection, short style with a flip","Frenchy is a long layered short style with the perfect lift in the back and slightly angled bangs.  The Best of the Soft Touch Collection by Tony of Beverly.  Soft Touch Collection wigs are made with light and airy caps with a finer fiber for a Soft Touch experience. Achieve easy, cool style with the beautiful short.",Wig,Soft Touch,Tony of Beverly Exclusive Soft Touch blend,standard,,Y
Fringe,"hair piece, snappy clip, claw clip",A fun and flirty way to wear your hair up.,Hairpiece,,Naturlite - Tony of Beverly's Exclusive blend,N/A,N,Y
Griffin,RTW lace front; monofusion; 100% hand-tied,"California-inspired graduating waves demand instant attention. This very long, but lightweight style has been seen on every hot red carpet star.",RTW Lace Front; Monofusion,,Naturlite - Tony of Beverly's Exclusive blend,standard,Y,Y
Gwen,"capless wig, mid legth, paula deen look",Gwen is a unique mid-length with sweeping layers.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Haily,RTW lacefront; classic full cap w/Ultimate Fit comfort,A modern punchy Bob with loose ringlets all over that will make your look sizzle. Side-swept bangs on a ready-to-wear lacefront curl away from the face and elevate the total look. This wig is an easy shake-and-go.,,Ultimate Fit,Tony of Beverly Exclusive blend,standard,N,Y
Harlow,"harp cap wig, ultimate fit wig, short style, soft touch collection, soft fiber, light weight","Harlow is a striking short cut that is razored smooth to the ends. Wear this short style with blunt or fringed bangs. Harlow is an easy style that any one can wear. Ultimate Fit Wigs were designed to fit comfortably, snugly and the light weight materials make for a real Cool Fit. The Best of the Soft Touch Collection by Tony of Beverly.  Soft Touch Collection wigs are made with light and airy caps with a finer fiber for a Soft Touch experience.",Wig,Ultimate Fit;Soft Touch,Tony of Beverly Exclusive Soft Touch blend,standard,N,Y
Hope,"capless wig, short flip, short style",Hope has wispy curls with a slightly flippy back. Style that can be worn by every age group.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Hunter,RTW lace front; monofusion; 100% hand-tied,"Hunter is mid-way simplicity. A sleek stunner! with layers from the shoulders down. Dimensional side-swept bangs are flexible, versatile, and absolutely fabulous.  Lightweight, hand-tied monofusion with Ready-to-Wear lacefront is out of the box beauty.  CELEBRITY TREND: Jennifer Aniston, Reese Witherspoon, Ashley Simpson, Blake Lively, Cameron Diaz.....",RTW Lace Front,,Naturlite - Tony of Beverly's Exclusive blend,standard,Y,Y
J C,"short, classic, graceful","A face-framing classic cut with soft curls at the crown, leading into a softly tapered nape.  Graceful and natural with a lot of movement. ",Wig,,Naturlite - Tony of Beverly's Exclusive blend,standard,N,Y
Jewel,"capless wig, short curls",Jewel has soft rolling curls ending in a tapered shape. The best curls on a short style.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Kapri,"capless wig, mid length, curly","Kapri is a showcase of long tight curls, lightly moussed for style. The Best of the O.C. collection by Tony of Beverly.",Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Kate,"capless wig, short, curly",Kate has curly layered locks. She is a real ladies style. A Tony of Beverly Best Seller.,Wig,,Tony of Beverly Exclusive blend,standard,N,Y
Kenzie,"harp cap wig, soft touch collection, ultimate fit wig, brush up back, short","Kenzie is a side swept fringe with a brush up back.  The perfect short of the season. Ultimate Fit Wigs were designed to fit comfortably, snugly and the light weight materials make for a real Cool Fit. The Best of the Soft Touch Collection by Tony of Beverly.  Soft Touch Collection wigs are made with light and airy caps with a finer fiber for a Soft Touch experience.",Wig,Ultimate Fit;Soft Touch,Tony of Beverly Exclusive Soft Touch blend,standard,N,Y
Kimber,Ultimate fit; harp cap,"Kimber is a modern shake-it-up bob with beach waves underneath and long layered fringes that can be worn down, swept to the side or cut into bold bangs. This fashionalbe style is young, modern and punchy!",Wig,Ultimate Fit,Naturlite - Tony of Beverly's Exclusive blend,standard,N,Y
